#category_id,type,names,icon
version:7
1|0|en_US:Scam;tr_TR:Dolandırıcı;zh_CN:诈骗电话;zh_TW:詐騙電話;ru_RU:Мошенник|http://file.market.xiaomi.com/download/FoundApp/0f16e24f7fca84fce1b9ecb835fc0d841204c57c6
2|0|en_US:Real estate;tr_TR:Emlak;zh_CN:房产中介;zh_TW:房產中介;ru_RU:Недвижимость|http://file.market.xiaomi.com/download/FoundApp/0616e42f7ac082fc4ab9efb83a5c068716f41c5d2
3|0|en_US:Ads;tr_TR:Reklam;zh_CN:广告推销;zh_TW:廣告推銷;ru_RU:Реклама|http://file.market.xiaomi.com/download/FoundApp/059bb4985743ff3960af5bc59dbbb30b30b428797
5|0|en_US:Delivery;tr_TR:Teslimat;zh_CN:快递外卖;zh_TW:快遞送餐;ru_RU:Доставка|http://file.market.xiaomi.com/download/FoundApp/0d4745f14c86636fc42d04bae140226c5b3406a43
6|3|en_US:Loans;tr_TR:Krediler;zh_CN:贷款推销;zh_TW:貸款推銷;ru_RU:Кредиты
8|0|en_US:VoIP call. Beware of fraud.;tr_TR:VoIP araması. Dolandırıcılıktan sakının;zh_CN:网络电话，谨防诈骗;zh_TW:網絡電話，謹防詐騙;ru_RU:VoIP вызов. Возможно мошенничество.
9|3|en_US:Finance;tr_TR:Finans;zh_CN:理财推销;zh_TW:理財推銷;ru_RU:Финансы
10|0|en_US:Spam;tr_TR:Spam;zh_CN:骚扰;zh_TW:騷擾;ru_RU:Спам
11|0|en_US:Taxi;tr_TR:Taksi;zh_CN:出租车;zh_TW:出租車;ru_RU:Такси|http://file.market.xiaomi.com/download/FoundApp/0c3146449b2af4842110b1c791c42fce1c5957b4e
12|3|en_US:Customer support;tr_TR:Müşteri desteği;zh_CN:客服售后;zh_TW:客服售後;ru_RU:Служба поддержки
13|3|en_US:Education;tr_TR:Eğitim;zh_CN:教育培训;zh_TW:教育培訓;ru_RU:Образование
14|3|en_US:Renovation;tr_TR:Yenileme;zh_CN:装修维修;zh_TW:裝修維修;ru_RU:Ремонт
15|3|en_US:Recruitment;tr_TR:İşe Alım;zh_CN:猎头招聘;zh_TW:獵頭招聘;ru_RU:Вербовка
